county_name,precincts_reporting,total_precincts,percent_reporting,registered_voters,voted_counted,turnout_percent,poll_locations,poll_locations_reporting,poll_locations_percent
HASKELL,11,11,100.0,3442,,65.28,11,11,100.0
HAYS,88,88,100.0,186198,,67.58,45,45,100.0
HEMPHILL,9,9,100.0,2347,,68.68,9,9,100.0
HENDERSON,31,31,100.0,59479,,64.8,18,18,100.0
HIDALGO,260,260,100.0,446417,,48.67,110,110,100.0
HILL,13,13,100.0,26962,,61.96,14,14,100.0
HOCKLEY,15,15,100.0,13984,,57.12,15,15,100.0
HOOD,17,17,100.0,51704,,70.7,12,12,100.0
HOPKINS,22,22,100.0,25383,,66.1,13,13,100.0
HOUSTON,22,22,100.0,13901,,67.37,22,22,100.0
HOWARD,34,34,100.0,17198,,56.06,5,5,100.0
HUDSPETH,9,9,100.0,2212,,46.93,9,9,100.0
HUNT,37,37,100.0,72860,,64.14,37,37,100.0
HUTCHINSON,9,9,100.0,13442,,61.33,9,9,100.0
IRION,5,5,100.0,1230,,70.57,2,2,100.0
JACK,7,7,100.0,5857,,71.73,5,5,100.0
JACKSON,9,9,100.0,9894,,63.97,10,10,100.0
JASPER,21,21,100.0,24496,,64.67,21,21,100.0
JEFF DAVIS,6,6,100.0,1574,,74.27,4,4,100.0
JEFFERSON,105,105,100.0,147938,,58.34,32,32,100.0
JIM HOGG,6,6,100.0,3548,,44.67,5,5,100.0
JIM WELLS,22,22,100.0,26414,,50.23,18,18,100.0
JOHNSON,44,44,100.0,129287,,62.44,40,40,100.0
JONES,5,5,100.0,10883,,63.83,8,8,100.0
KARNES,16,16,100.0,8449,,60.07,10,10,100.0
KAUFMAN,37,37,100.0,108165,,64.17,25,25,100.0
KENDALL,18,18,100.0,38959,,75.25,12,12,100.0
KENEDY,7,7,100.0,270,,58.52,3,3,100.0
KENT,7,7,100.0,599,,74.29,7,7,100.0
KERR,20,20,100.0,40065,,70.31,21,21,100.0
KIMBLE,8,8,100.0,3318,,72.45,5,5,100.0
KING,5,5,100.0,165,,81.82,5,5,100.0
KINNEY,5,5,100.0,2175,,65.24,5,5,100.0
KLEBERG,18,18,100.0,18689,,53.58,16,16,100.0
KNOX,7,7,100.0,2230,,61.7,4,4,100.0
LAMAR,26,26,100.0,33110,,64.29,27,27,100.0
LAMB,12,12,100.0,7883,,52.66,7,7,100.0
LAMPASAS,11,11,100.0,16913,,66.82,6,6,100.0
LASALLE,7,7,100.0,4210,,56.06,7,7,100.0
LAVACA,11,11,100.0,14389,,72.91,12,12,100.0
LEE,16,16,100.0,12168,,69.16,9,9,100.0
LEON,15,15,100.0,12654,,71.63,16,16,100.0
LIBERTY,22,22,100.0,54530,,57.44,27,27,100.0
LIMESTONE,21,21,100.0,14443,,62.83,23,23,100.0
LIPSCOMB,8,8,100.0,1818,,69.25,5,5,100.0
LIVE OAK,15,15,100.0,7774,,65.51,13,13,100.0
LLANO,11,11,100.0,18455,,73.85,11,11,100.0
LOVING,5,5,100.0,128,,75.78,5,5,100.0
LUBBOCK,100,100,100.0,197198,,63.41,51,51,100.0
LYNN,8,8,100.0,4385,,58.54,5,5,100.0
MADISON,5,5,100.0,8471,,64.8,6,6,100.0
MARION,11,11,100.0,7822,,60.27,6,6,100.0
MARTIN,7,7,100.0,3497,,59.57,7,7,100.0
MASON,5,5,100.0,3278,,77.09,5,5,100.0
MATAGORDA,19,19,100.0,22394,,59.44,12,12,100.0
MAVERICK,17,17,100.0,35947,,43.8,17,17,100.0
MCCULLOCH,10,10,100.0,5424,,64.77,8,8,100.0
MCLENNAN,91,91,100.0,159331,,62.56,46,46,100.0
